Journal,Impact Factor,ISI Subject category,HomePage,DOAJ_link
Ecology and Evolution,1.184,Ecology,,
Evolutionary bioinformatics,1.229,Mathematical and computational biology,,
Biology Direct,2.72,Biology,,
BMC Developmental Biology,2.728,Developmental biology,,
BMC Genetics,2.81,Genetics and heredity,,
Scientific Reports,2.927,Multidisciplinary sciences,,
BMC Bioinformatics,3.02,Mathematical and computational biology,,
BMC Evolutionary Biology,3.29,Evolutionary biology,,
PLOS One,3.73,Multidisciplinary sciences,,
Frontiers in Zoology,3.871,Zoology,,
EvoDevo,3.91,Developmental biology,,
Evolutionary applications,4.153,Evolutionary biology,,
BMC Genomics,4.4,Genetics and heredity,,
PLOS Neglected Tropical Diseases,4.569,Tropical medicine,,
Genome Biology and Evolution,4.759,Genetics and heredity,,
PLOS Computational Biology,4.867,Mathematical and computational biology,,
BMC Biology,6.53,Biology,,
PLOS Pathogens,8.136,Microbiology,,
PLOS Genetics,8.517,Genetics and heredity,,
PLOS Biology,12.69,Biology,,
PLOS Medicine,15.253,"Medicine, general and internal",,
Applications in Plant Sciences,NA,NA,,
BMC Ecology,NA,NA,,
Ecosphere,NA,NA,,
eLife,NA,NA,,
Evolution Medicine and Public Health,NA,NA,,
Frontiers in Genetics,NA,NA,,
PeerJ,NA,NA,,
PLOS Currents,NA,NA,,
BMC Plant Biology,4.354,Plant Sciences,,
F1000 Research,,,,
